threshold,accuracy,precision,recall,f1,predicted_churn_customers,correctly_identified_churn,missed_churn_customers,false_churn_alerts,true_no_churn,predicted_churn_rate,churn_miss_rate
0.3,0.6543647977288858,0.42998760842627015,0.9278074866310161,0.5876375952582558,807,347,27,460,575,0.5727466288147622,0.07219251336898395
0.4,0.6983676366217175,0.463519313304721,0.8663101604278075,0.6039142590866728,699,324,50,375,660,0.49609652235628104,0.13368983957219252
0.5,0.7395315826827538,0.5060449050086355,0.7834224598930482,0.614900314795383,579,293,81,286,749,0.41092973740241306,0.21657754010695188
0.6,0.7629524485450674,0.5408163265306123,0.7085561497326203,0.6134259259259259,490,265,109,225,810,0.34776437189496096,0.2914438502673797
0.7,0.7899219304471257,0.6037234042553191,0.606951871657754,0.6053333333333333,376,227,147,149,886,0.2668559261887864,0.393048128342246
0.8,0.7963094393186657,0.7061611374407583,0.3983957219251337,0.5094017094017094,211,149,225,62,973,0.1497515968772179,0.6016042780748663
