risk_level,total_customers,actual_churners,actual_non_churners,actual_churn_rate,share_of_test_customers,share_of_actual_churners,avg_churn_probability,min_churn_probability,max_churn_probability
Low Risk,712,50,662,0.0702247191011236,0.5053229240596168,0.13368983957219252,0.15189199796739625,0.006892780838391421,0.39278418532145903
Moderate Risk,490,177,313,0.36122448979591837,0.34776437189496096,0.4732620320855615,0.6169249201051218,0.401356684945356,0.7999318943713885
High Risk,207,147,60,0.7101449275362319,0.14691270404542228,0.393048128342246,0.854925389465528,0.8003274259706195,0.9360494176307919
