threshold,accuracy,precision,recall,f1,predicted_churn_customers,correctly_identified_churn,missed_churn_customers,false_churn_alerts,true_no_churn,predicted_churn_rate,churn_miss_rate
0.3,0.7487579843860894,0.518450184501845,0.7513368983957219,0.6135371179039302,542,281,93,261,774,0.3846699787083038,0.24866310160427807
0.4,0.7743080198722498,0.5636363636363636,0.6631016042780749,0.6093366093366094,440,248,126,192,843,0.31227821149751595,0.33689839572192515
0.5,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,319,209,165,110,925,0.2264017033356991,0.4411764705882353
0.6,0.7991483321504613,0.7177033492822966,0.40106951871657753,0.5145797598627787,209,150,224,59,976,0.1483321504613201,0.5989304812834224
0.7,0.765791341376863,0.7444444444444445,0.17914438502673796,0.28879310344827586,90,67,307,23,1012,0.063875088715401,0.820855614973262
0.8,0.7402413058907026,0.7857142857142857,0.029411764705882353,0.05670103092783505,14,11,363,3,1032,0.0099361249112846,0.9705882352941176
