risk_level,total_customers,actual_churners,actual_non_churners,actual_churn_rate,share_of_test_customers,share_of_actual_churners,avg_churn_probability,min_churn_probability,max_churn_probability
Low Risk,1090,165,925,0.15137614678899083,0.7735982966643009,0.4411764705882353,0.15784194453081915,0.0015530845421196954,0.4987751121199431
Moderate Risk,305,198,107,0.6491803278688525,0.21646557842441447,0.5294117647058824,0.6361866691208743,0.5003107993290815,0.7942741270015014
High Risk,14,11,3,0.7857142857142857,0.0099361249112846,0.029411764705882353,0.8181532280806806,0.8054454105617336,0.8540241608525868
