risk_level,total_customers,actual_churners,actual_non_churners,actual_churn_rate,share_of_test_customers,share_of_actual_churners,avg_churn_probability,min_churn_probability,max_churn_probability
Low Risk,716,50,666,0.06983240223463687,0.5081618168914124,0.13368983957219252,0.23438067604064905,0.06287768859975217,0.4420829680890173
Moderate Risk,538,217,321,0.4033457249070632,0.38183108587650816,0.5802139037433155,0.6033634855661469,0.4435859612982254,0.7999843756366172
High Risk,155,107,48,0.6903225806451613,0.11000709723207949,0.28609625668449196,0.8710179230084096,0.8009281001603603,0.9709057165427987
