risk_level,total_customers,actual_churners,actual_non_churners,actual_churn_rate,share_of_test_customers,share_of_actual_churners,avg_churn_probability,min_churn_probability,max_churn_probability
Low Risk,830,81,749,0.09759036144578313,0.589070262597587,0.21657754010695188,0.19102103138928445,0.0052170849739785925,0.4999671407452939
Moderate Risk,368,144,224,0.391304347826087,0.26117814052519517,0.3850267379679144,0.6704263986080593,0.5008430732503505,0.7996524815439358
High Risk,211,149,62,0.7061611374407583,0.1497515968772179,0.3983957219251337,0.8552443800725005,0.8000379397723825,0.9374211506905405
