mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.49901549021402997,0.04912848262256632,0.020728031794230144,0.00022608127581120075,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear')",10.0,balanced,l1,,,,,"{'classifier': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear'), 'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1'}",0.8032128514056225,0.7931726907630522,0.8036072144288577,0.7999975855325108,0.00482861415654371,7
0.08955319722493489,0.01567150222982135,0.025547345479329426,0.00197811764626253,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear')",10.0,balanced,l2,,,,,"{'classifier': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear'), 'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2'}",0.8012048192771084,0.7931726907630522,0.8036072144288577,0.7993282414896727,0.004461761922326696,9
0.5919907887776693,0.017161039368338533,0.026118119557698567,0.004113374106825716,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear')",30.0,balanced,l1,,,,,"{'classifier': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear'), 'classifier__C': 30.0, 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1'}",0.8012048192771084,0.7931726907630522,0.8036072144288577,0.7993282414896727,0.004461761922326696,9
0.09631466865539551,0.008173632946458521,0.025191068649291992,0.0016607648266932413,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear')",30.0,balanced,l2,,,,,"{'classifier': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=42,
                   solver='liblinear'), 'classifier__C': 30.0, 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2'}",0.7991967871485943,0.7911646586345381,0.8036072144288577,0.7979895534039967,0.005150880744057959,14
1.0152604579925537,0.17527597460173253,0.07598614692687988,0.01614125699531087,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,1.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.785140562248996,0.7991967871485943,0.7855711422845691,0.7899694972273865,0.006527046767580594,27
1.5660591920216878,0.12066099571872635,0.09564010302225749,0.014109875781305407,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,1.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.7931726907630522,0.8012048192771084,0.7895791583166333,0.794652222785598,0.004860093239591371,18
0.7606631914774576,0.02986037486106034,0.0579530398050944,0.0026195944675413943,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,2.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.7911646586345381,0.8012048192771084,0.781563126252505,0.7913108680547172,0.008019354051879748,26
1.9615525404612224,0.2825463462837484,0.11948561668395996,0.017200078802787372,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,2.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.7951807228915663,0.8032128514056225,0.7895791583166333,0.795990910871274,0.005595337358493838,17
0.7551617622375488,0.0553047198232699,0.05699483553568522,0.0009370513891967889,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,4.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.7931726907630522,0.8072289156626506,0.7875751503006012,0.7959922522421014,0.008267610232194345,16
1.7428984642028809,0.2919601427295352,0.10622533162434895,0.013672486150611184,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,sqrt,4.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 400}",0.7951807228915663,0.8092369477911646,0.7915831663326653,0.7986669456717989,0.007617055944881069,11
